ResponseId,mean.acc,mean.self,AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,study
R_2BfXxPeUm8GwT8p,0.4,1.8,63,Male,Higher,White,36,10,36,Other,PSYC304.ml
R_3KNF04WsJJjWeMB,0.35,1.6,44,Male,Higher,White,17,5,49,Other,PSYC304.ml
R_szHwIU41p8IrXMZ,0.45,1,63,Female,Further,White,36,9,35,Other,PSYC304.ml
R_1jJI9uu5ngDkcVx,0.9,8.6,37,Female,Further,White,32,11,53,English,PSYC304.ml
R_25SifsJKpsqUt3L,0.4,3.8,54,Female,Further,White,22,6,29,Other,PSYC304.ml
R_2f7ma3xwCVrthL6,0.65,8,39,Female,Higher,White,22,5,48,Other,PSYC304.ml
R_2P1B1g6CMGp6It6,0.8,9,34,Female,Higher,White,25,4,63,Other,PSYC304.ml
R_3kF05jPC3IaXEUV,0.6,3.2,42,Female,Higher,White,19,5,43,Other,PSYC304.ml
R_21iGwXYBvmvz6iN,0.95,8,21,Female,Secondary,White,39,8,62,Other,PSYC304.ml
R_30p104ffEK0ec29,0.75,9,19,Female,Further,White,36,9,56,Other,PSYC304.ml
R_2ug0PfeMdOsQq7T,0.45,6.6,31,Female,Further,White,20,6,60,Other,PSYC304.ml
R_2rSnIbphMgC2v6R,0.6,6.6,39,Male,Further,White,21,9,44,Other,PSYC304.ml
R_3fqs585rFjj40bl,0.5,2.2,45,Female,Higher,White,15,4,49,Other,PSYC304.ml
R_71UHrGw7Wdx0jzX,0.8,9,35,Female,Further,White,37,6,56,Other,PSYC304.ml
R_PwDavb2YV3Hsrq9,0.9,8,21,Female,Secondary,White,38,7,53,Other,PSYC304.ml
R_2v8IlxOGGet1mDD,0.75,8.2,39,Male,Higher,White,27,6,62,Other,PSYC304.ml
R_3nH5M1JlLgff47E,0.9,6.8,34,Female,Secondary,White,28,8,57,Other,PSYC304.ml
R_2TXyGwJNJy9PFrt,0.85,7.4,22,Male,Further,White,33,7,55,Other,PSYC304.ml
R_2pKKlY8BpVGLyof,0.85,8.4,32,Female,Higher,White,39,8,63,Other,PSYC304.ml
R_2YKZwe3fRDvwbih,0.5,6.2,43,Female,Higher,White,38,5,55,Other,PSYC304.ml
R_2cuZaEUTpMDJKMM,0.75,8,46,Female,Higher,White,36,6,58,Other,PSYC304.ml
R_3EupDpNfwPVjoNH,0.8,8.4,40,Female,Higher,White,29,8,48,Other,PSYC304.ml
R_1IRyLFBoHKQQPQP,0.9,7.2,39,Female,Higher,White,37,7,57,Other,PSYC304.ml
R_AMxiEoNhtIjNKo1,0.65,8.2,39,Female,Further,White,35,9,63,Other,PSYC304.ml
R_2f8pZmNR4ETYckD,0.9,9,19,Female,Further,White,39,12,54,Other,PSYC304.ml
R_3s548A2c8abzBOm,0.85,5.8,19,Male,Further,White,31,9,51,Other,PSYC304.ml
R_1q9zs9n8h84OB4C,0.4,6.2,38,Male,Further,White,32,9,51,English,PSYC304.ml
R_DdBzR1Pfxr5sT7j,0.8,6,24,Female,Further,White,38,9,50,English,PSYC304.ml
R_1ikhJ1iGeph7aSC,0.95,8,22,Female,Further,White,28,10,46,English,PSYC304.rw
R_0CxcOzj8sAmjHHj,0.85,7.4,59,Female,Higher,White,32,11,52,English,PSYC304.rw
R_2tJdIKDsdg0FD52,1,8,61,Male,Higher,White,36,10,55,English,PSYC304.rw
R_3jZGZG8edXAbdXq,0.95,7.6,22,Female,Higher,White,29,7,49,English,PSYC304.rw
R_yrUp37seEzLr1rH,0.8,8.4,81,Female,Higher,White,31,8,51,Other,PSYC304.rw
R_PIHdV2WuxRjzylr,1,8.6,21,Female,Further,White,27,9,41,English,PSYC304.rw
R_W1Bn1b8pPdMVGF3,0.9,6.6,21,Female,Higher,White,33,8,47,English,PSYC304.rw
R_3iO7F46wJd6d0iq,0.75,4,21,Female,Higher,White,26,8,49,English,PSYC304.rw
R_31Nt5jTu499VlGn,0.85,7,20,Male,Further,White,37,9,49,English,PSYC304.rw
R_1rPoXX7BRsHnO4m,1,7.6,22,Female,Higher,White,31,6,46,English,PSYC304.rw
R_2qmetno1Txk1PBc,0.7,3.6,58,Female,Higher,White,35,7,39,English,PSYC304.rw
R_2v0n1NVkNgyuN57,0.95,7,21,Female,Further,White,34,7,51,English,PSYC304.rw
R_73NSdrUrBEpEGE9,0.95,7.4,22,Female,Further,White,30,9,45,English,PSYC304.rw
R_efBnYefldAB7FuN,0.8,5,21,Female,Further,White,34,7,44,English,PSYC304.rw
R_2uP2qnRKc4klQ9F,0.95,7.2,56,Female,Higher,White,37,11,51,English,PSYC304.rw
R_1KdraRk4mU5IxL2,1,8,59,Female,Higher,White,38,12,54,English,PSYC304.rw
R_1n6nmNjc7qD4CW5,1,7.4,67,Male,Higher,White,38,11,46,English,PSYC304.rw
R_2EuYqolAnYjAYSt,0.85,8,55,Female,Further,White,39,10,53,English,PSYC304.rw
R_3KPApJbR5IcyBD7,0.8,7.6,62,Male,Further,White,40,10,47,English,PSYC304.rw
R_1ir4MOsbrqXdLN2,0.95,9,30,Female,Higher,White,37,10,62,English,PSYC304.rw
